position,person,personID,start,end
Head of the Republic,Denis Pushilin,Q16514790,2018-11-20,
Chairman of the Council of Ministers,Vitaliy Khotsenko,Q112286420,2022-06-08,
"Minister for Civil Defence, Emergencies and Disaster Relief",Aleksey Kostrubitskiy,Q108337676,2014,
Minister of Communications,Халепа Игорь Николаевич,Q109948361,2020-10-07,
Minister of Culture,Желтяков Михаил Васильевич,Q109984834,2018-12-03,
Minister of Foreign Affairs,Nataliya Nikonorova,Q56651232,2016-02-23,
Minister of State Security,"Павленко, Владимир Викторович",Q18275322,2015-12-14,
