item,itemLabel,position,positionLabel,start,psid
Q109948361,Q109948361,Q108117640,Minister of Communications of the Donetsk People's Republic,2020-10-07,Q109948361-26b4a593-448b-8ac4-92f2-414c2a8cef15
Q112286420,Vitaliy Khotsenko,Q60991290,Chairman of the Council of Ministers of the Donetsk People's Republic,2022-06-08,Q112286420-a64d150d-4f0e-61f9-f9f5-fc0c7e3ad8f8
Q16514790,Denis Pushilin,Q19614487,Head of the Donetsk People's Republic,2018-11-20,Q16514790-fa363d18-4cae-a41a-faf3-75906e992fdc
Q18275322,Q18275322,Q111597856,Minister of State Security of the Donetsk People's Republic,2015-12-14,Q18275322-BCC343C6-6900-4535-B007-FB7B2C156571
Q56651232,Nataliya Nikonorova,Q111597818,Foreign Minister of the Donetsk People's Republic,2016-02-23,Q56651232-14900804-8702-4768-B42C-2FBA1AA1D61B
